Entity,Code,Date,Total confirmed cases of COVID-19 (cases),Days since the total confirmed cases of COVID-19 reached 100
Czech Republic,CZE,"Dec 31, 2019",0,
Czech Republic,CZE,"Jan 1, 2020",0,
Czech Republic,CZE,"Jan 2, 2020",0,
Czech Republic,CZE,"Jan 3, 2020",0,
Czech Republic,CZE,"Jan 4, 2020",0,
Czech Republic,CZE,"Jan 5, 2020",0,
Czech Republic,CZE,"Jan 6, 2020",0,
Czech Republic,CZE,"Jan 7, 2020",0,
Czech Republic,CZE,"Jan 8, 2020",0,
Czech Republic,CZE,"Jan 9, 2020",0,
Czech Republic,CZE,"Jan 10, 2020",0,
Czech Republic,CZE,"Jan 11, 2020",0,
Czech Republic,CZE,"Jan 12, 2020",0,
Czech Republic,CZE,"Jan 13, 2020",0,
Czech Republic,CZE,"Jan 14, 2020",0,
Czech Republic,CZE,"Jan 15, 2020",0,
Czech Republic,CZE,"Jan 16, 2020",0,
Czech Republic,CZE,"Jan 17, 2020",0,
Czech Republic,CZE,"Jan 18, 2020",0,
Czech Republic,CZE,"Jan 19, 2020",0,
Czech Republic,CZE,"Jan 20, 2020",0,
Czech Republic,CZE,"Jan 21, 2020",0,
Czech Republic,CZE,"Jan 22, 2020",0,
Czech Republic,CZE,"Jan 23, 2020",0,
Czech Republic,CZE,"Jan 24, 2020",0,
Czech Republic,CZE,"Jan 25, 2020",0,
Czech Republic,CZE,"Jan 26, 2020",0,
Czech Republic,CZE,"Jan 27, 2020",0,
Czech Republic,CZE,"Jan 28, 2020",0,
Czech Republic,CZE,"Jan 29, 2020",0,
Czech Republic,CZE,"Jan 30, 2020",0,
Czech Republic,CZE,"Jan 31, 2020",0,
Czech Republic,CZE,"Feb 1, 2020",0,
Czech Republic,CZE,"Feb 2, 2020",0,
Czech Republic,CZE,"Feb 3, 2020",0,
Czech Republic,CZE,"Feb 4, 2020",0,
Czech Republic,CZE,"Feb 5, 2020",0,
Czech Republic,CZE,"Feb 6, 2020",0,
Czech Republic,CZE,"Feb 7, 2020",0,
Czech Republic,CZE,"Feb 8, 2020",0,
Czech Republic,CZE,"Feb 9, 2020",0,
Czech Republic,CZE,"Feb 10, 2020",0,
Czech Republic,CZE,"Feb 11, 2020",0,
Czech Republic,CZE,"Feb 12, 2020",0,
Czech Republic,CZE,"Feb 13, 2020",0,
Czech Republic,CZE,"Feb 14, 2020",0,
Czech Republic,CZE,"Feb 15, 2020",0,
Czech Republic,CZE,"Feb 16, 2020",0,
Czech Republic,CZE,"Feb 17, 2020",0,
Czech Republic,CZE,"Feb 18, 2020",0,
Czech Republic,CZE,"Feb 19, 2020",0,
Czech Republic,CZE,"Feb 20, 2020",0,
Czech Republic,CZE,"Feb 21, 2020",0,
Czech Republic,CZE,"Feb 22, 2020",0,
Czech Republic,CZE,"Feb 23, 2020",0,
Czech Republic,CZE,"Feb 24, 2020",0,
Czech Republic,CZE,"Feb 25, 2020",0,
Czech Republic,CZE,"Feb 26, 2020",0,
Czech Republic,CZE,"Feb 27, 2020",0,
Czech Republic,CZE,"Feb 28, 2020",0,
Czech Republic,CZE,"Feb 29, 2020",0,
Czech Republic,CZE,"Mar 1, 2020",0,
Czech Republic,CZE,"Mar 2, 2020",3,
Czech Republic,CZE,"Mar 3, 2020",5,
Czech Republic,CZE,"Mar 4, 2020",5,
Czech Republic,CZE,"Mar 5, 2020",8,
Czech Republic,CZE,"Mar 6, 2020",12,
Czech Republic,CZE,"Mar 7, 2020",19,
Czech Republic,CZE,"Mar 8, 2020",26,
Czech Republic,CZE,"Mar 9, 2020",32,
Czech Republic,CZE,"Mar 10, 2020",40,
Czech Republic,CZE,"Mar 11, 2020",63,
Czech Republic,CZE,"Mar 12, 2020",94,
Czech Republic,CZE,"Mar 13, 2020",116,0
Czech Republic,CZE,"Mar 14, 2020",150,1
Czech Republic,CZE,"Mar 15, 2020",214,2
Czech Republic,CZE,"Mar 16, 2020",298,3
Czech Republic,CZE,"Mar 17, 2020",344,4
Czech Republic,CZE,"Mar 18, 2020",434,5
Czech Republic,CZE,"Mar 19, 2020",522,6
Czech Republic,CZE,"Mar 20, 2020",694,7
Czech Republic,CZE,"Mar 21, 2020",904,8
Czech Republic,CZE,"Mar 22, 2020",995,9
Czech Republic,CZE,"Mar 23, 2020",1165,10
Czech Republic,CZE,"Mar 24, 2020",1236,11
Czech Republic,CZE,"Mar 25, 2020",1394,12
Czech Republic,CZE,"Mar 26, 2020",1654,13
Czech Republic,CZE,"Mar 27, 2020",2062,14
Democratic Republic of Congo,COD,"Mar 11, 2020",1,
Democratic Republic of Congo,COD,"Mar 14, 2020",2,
Democratic Republic of Congo,COD,"Mar 15, 2020",2,
Democratic Republic of Congo,COD,"Mar 16, 2020",2,
Democratic Republic of Congo,COD,"Mar 17, 2020",3,
Democratic Republic of Congo,COD,"Mar 18, 2020",3,
Democratic Republic of Congo,COD,"Mar 19, 2020",14,
Democratic Republic of Congo,COD,"Mar 20, 2020",14,
Democratic Republic of Congo,COD,"Mar 21, 2020",14,
Democratic Republic of Congo,COD,"Mar 22, 2020",23,
Democratic Republic of Congo,COD,"Mar 23, 2020",26,
Democratic Republic of Congo,COD,"Mar 24, 2020",26,
Democratic Republic of Congo,COD,"Mar 25, 2020",45,
Democratic Republic of Congo,COD,"Mar 26, 2020",45,
Democratic Republic of Congo,COD,"Mar 27, 2020",54,
Denmark,DNK,"Dec 31, 2019",0,
Denmark,DNK,"Jan 1, 2020",0,
Denmark,DNK,"Jan 2, 2020",0,
Denmark,DNK,"Jan 3, 2020",0,
Denmark,DNK,"Jan 4, 2020",0,
Denmark,DNK,"Jan 5, 2020",0,
Denmark,DNK,"Jan 6, 2020",0,
Denmark,DNK,"Jan 7, 2020",0,
Denmark,DNK,"Jan 8, 2020",0,
Denmark,DNK,"Jan 9, 2020",0,
Denmark,DNK,"Jan 10, 2020",0,
Denmark,DNK,"Jan 11, 2020",0,
Denmark,DNK,"Jan 12, 2020",0,
Denmark,DNK,"Jan 13, 2020",0,
Denmark,DNK,"Jan 14, 2020",0,
Denmark,DNK,"Jan 15, 2020",0,
Denmark,DNK,"Jan 16, 2020",0,
Denmark,DNK,"Jan 17, 2020",0,
Denmark,DNK,"Jan 18, 2020",0,
Denmark,DNK,"Jan 19, 2020",0,
Denmark,DNK,"Jan 20, 2020",0,
Denmark,DNK,"Jan 21, 2020",0,
Denmark,DNK,"Jan 22, 2020",0,
Denmark,DNK,"Jan 23, 2020",0,
Denmark,DNK,"Jan 24, 2020",0,
Denmark,DNK,"Jan 25, 2020",0,
Denmark,DNK,"Jan 26, 2020",0,
Denmark,DNK,"Jan 27, 2020",0,
Denmark,DNK,"Jan 28, 2020",0,
Denmark,DNK,"Jan 29, 2020",0,
Denmark,DNK,"Jan 30, 2020",0,
Denmark,DNK,"Jan 31, 2020",0,
Denmark,DNK,"Feb 1, 2020",0,
Denmark,DNK,"Feb 2, 2020",0,
Denmark,DNK,"Feb 3, 2020",0,
Denmark,DNK,"Feb 4, 2020",0,
Denmark,DNK,"Feb 5, 2020",0,
Denmark,DNK,"Feb 6, 2020",0,
Denmark,DNK,"Feb 7, 2020",0,
Denmark,DNK,"Feb 8, 2020",0,
Denmark,DNK,"Feb 9, 2020",0,
Denmark,DNK,"Feb 10, 2020",0,
Denmark,DNK,"Feb 11, 2020",0,
Denmark,DNK,"Feb 12, 2020",0,
Denmark,DNK,"Feb 13, 2020",0,
Denmark,DNK,"Feb 14, 2020",0,
Denmark,DNK,"Feb 15, 2020",0,
Denmark,DNK,"Feb 16, 2020",0,
Denmark,DNK,"Feb 17, 2020",0,
Denmark,DNK,"Feb 18, 2020",0,
Denmark,DNK,"Feb 19, 2020",0,
Denmark,DNK,"Feb 20, 2020",0,
Denmark,DNK,"Feb 21, 2020",0,
Denmark,DNK,"Feb 22, 2020",0,
Denmark,DNK,"Feb 23, 2020",0,
Denmark,DNK,"Feb 24, 2020",0,
Denmark,DNK,"Feb 25, 2020",0,
Denmark,DNK,"Feb 26, 2020",0,
Denmark,DNK,"Feb 27, 2020",1,
Denmark,DNK,"Feb 28, 2020",1,
Denmark,DNK,"Feb 29, 2020",2,
Denmark,DNK,"Mar 1, 2020",3,
Denmark,DNK,"Mar 2, 2020",4,
Denmark,DNK,"Mar 3, 2020",5,
Denmark,DNK,"Mar 4, 2020",8,
Denmark,DNK,"Mar 5, 2020",10,
Denmark,DNK,"Mar 6, 2020",20,
Denmark,DNK,"Mar 7, 2020",23,
Denmark,DNK,"Mar 8, 2020",31,
Denmark,DNK,"Mar 9, 2020",38,
Denmark,DNK,"Mar 10, 2020",113,0
Denmark,DNK,"Mar 11, 2020",264,1
Denmark,DNK,"Mar 12, 2020",516,2
Denmark,DNK,"Mar 13, 2020",676,3
Denmark,DNK,"Mar 14, 2020",804,4
Denmark,DNK,"Mar 15, 2020",827,5
Denmark,DNK,"Mar 16, 2020",875,6
Denmark,DNK,"Mar 17, 2020",932,7
Denmark,DNK,"Mar 18, 2020",1024,8
Denmark,DNK,"Mar 19, 2020",1115,9
Denmark,DNK,"Mar 20, 2020",1151,10
Denmark,DNK,"Mar 21, 2020",1255,11
Denmark,DNK,"Mar 22, 2020",1326,12
Denmark,DNK,"Mar 23, 2020",1395,13
Denmark,DNK,"Mar 24, 2020",1460,14
Denmark,DNK,"Mar 25, 2020",1591,15
Denmark,DNK,"Mar 26, 2020",1724,16
Denmark,DNK,"Mar 27, 2020",1877,17
Djibouti,DJI,"Mar 19, 2020",1,
Djibouti,DJI,"Mar 20, 2020",1,
Djibouti,DJI,"Mar 21, 2020",1,
Djibouti,DJI,"Mar 22, 2020",1,
Djibouti,DJI,"Mar 23, 2020",1,
Djibouti,DJI,"Mar 24, 2020",3,
Djibouti,DJI,"Mar 25, 2020",3,
Djibouti,DJI,"Mar 26, 2020",12,
Djibouti,DJI,"Mar 27, 2020",18,
Dominica,DMA,"Mar 23, 2020",1,
Dominica,DMA,"Mar 24, 2020",1,
Dominica,DMA,"Mar 25, 2020",2,
Dominica,DMA,"Mar 26, 2020",7,
Dominica,DMA,"Mar 27, 2020",11,
Dominican Republic,DOM,"Dec 31, 2019",0,
Dominican Republic,DOM,"Jan 1, 2020",0,
Dominican Republic,DOM,"Jan 2, 2020",0,
Dominican Republic,DOM,"Jan 3, 2020",0,
Dominican Republic,DOM,"Jan 4, 2020",0,
Dominican Republic,DOM,"Jan 5, 2020",0,
Dominican Republic,DOM,"Jan 6, 2020",0,
Dominican Republic,DOM,"Jan 7, 2020",0,
Dominican Republic,DOM,"Jan 8, 2020",0,
Dominican Republic,DOM,"Jan 9, 2020",0,
Dominican Republic,DOM,"Jan 10, 2020",0,
Dominican Republic,DOM,"Jan 11, 2020",0,
Dominican Republic,DOM,"Jan 12, 2020",0,
Dominican Republic,DOM,"Jan 13, 2020",0,
Dominican Republic,DOM,"Jan 14, 2020",0,
Dominican Republic,DOM,"Jan 15, 2020",0,
Dominican Republic,DOM,"Jan 16, 2020",0,
Dominican Republic,DOM,"Jan 17, 2020",0,
Dominican Republic,DOM,"Jan 18, 2020",0,
Dominican Republic,DOM,"Jan 19, 2020",0,
Dominican Republic,DOM,"Jan 20, 2020",0,
Dominican Republic,DOM,"Jan 21, 2020",0,
Dominican Republic,DOM,"Jan 22, 2020",0,
Dominican Republic,DOM,"Jan 23, 2020",0,
Dominican Republic,DOM,"Jan 24, 2020",0,
Dominican Republic,DOM,"Jan 25, 2020",0,
Dominican Republic,DOM,"Jan 26, 2020",0,
Dominican Republic,DOM,"Jan 27, 2020",0,
Dominican Republic,DOM,"Jan 28, 2020",0,
Dominican Republic,DOM,"Jan 29, 2020",0,
Dominican Republic,DOM,"Jan 30, 2020",0,
Dominican Republic,DOM,"Jan 31, 2020",0,
Dominican Republic,DOM,"Feb 1, 2020",0,
Dominican Republic,DOM,"Feb 2, 2020",0,
Dominican Republic,DOM,"Feb 3, 2020",0,
Dominican Republic,DOM,"Feb 4, 2020",0,
Dominican Republic,DOM,"Feb 5, 2020",0,
Dominican Republic,DOM,"Feb 6, 2020",0,
Dominican Republic,DOM,"Feb 7, 2020",0,
Dominican Republic,DOM,"Feb 8, 2020",0,
Dominican Republic,DOM,"Feb 9, 2020",0,
Dominican Republic,DOM,"Feb 10, 2020",0,
Dominican Republic,DOM,"Feb 11, 2020",0,
Dominican Republic,DOM,"Feb 12, 2020",0,
Dominican Republic,DOM,"Feb 13, 2020",0,
Dominican Republic,DOM,"Feb 14, 2020",0,
Dominican Republic,DOM,"Feb 15, 2020",0,
Dominican Republic,DOM,"Feb 16, 2020",0,
Dominican Republic,DOM,"Feb 17, 2020",0,
Dominican Republic,DOM,"Feb 18, 2020",0,
Dominican Republic,DOM,"Feb 19, 2020",0,
Dominican Republic,DOM,"Feb 20, 2020",0,
Dominican Republic,DOM,"Feb 21, 2020",0,
Dominican Republic,DOM,"Feb 22, 2020",0,
Dominican Republic,DOM,"Feb 23, 2020",0,
Dominican Republic,DOM,"Feb 24, 2020",0,
Dominican Republic,DOM,"Feb 25, 2020",0,
Dominican Republic,DOM,"Feb 26, 2020",0,
Dominican Republic,DOM,"Feb 27, 2020",0,
Dominican Republic,DOM,"Feb 28, 2020",0,
Dominican Republic,DOM,"Feb 29, 2020",0,
Dominican Republic,DOM,"Mar 1, 2020",0,
Dominican Republic,DOM,"Mar 2, 2020",1,
Dominican Republic,DOM,"Mar 7, 2020",2,
Dominican Republic,DOM,"Mar 10, 2020",5,
Dominican Republic,DOM,"Mar 14, 2020",11,
Dominican Republic,DOM,"Mar 15, 2020",11,
Dominican Republic,DOM,"Mar 16, 2020",11,
Dominican Republic,DOM,"Mar 17, 2020",11,
Dominican Republic,DOM,"Mar 18, 2020",11,
Dominican Republic,DOM,"Mar 19, 2020",21,
Dominican Republic,DOM,"Mar 20, 2020",21,
Dominican Republic,DOM,"Mar 21, 2020",34,
Dominican Republic,DOM,"Mar 22, 2020",112,0
Dominican Republic,DOM,"Mar 23, 2020",202,1
Dominican Republic,DOM,"Mar 24, 2020",245,2
Dominican Republic,DOM,"Mar 25, 2020",312,3
Dominican Republic,DOM,"Mar 26, 2020",392,4
Dominican Republic,DOM,"Mar 27, 2020",488,5
Ecuador,ECU,"Dec 31, 2019",0,
Ecuador,ECU,"Jan 1, 2020",0,
Ecuador,ECU,"Jan 2, 2020",0,
Ecuador,ECU,"Jan 3, 2020",0,
Ecuador,ECU,"Jan 4, 2020",0,
Ecuador,ECU,"Jan 5, 2020",0,
Ecuador,ECU,"Jan 6, 2020",0,
Ecuador,ECU,"Jan 7, 2020",0,
Ecuador,ECU,"Jan 8, 2020",0,
Ecuador,ECU,"Jan 9, 2020",0,
Ecuador,ECU,"Jan 10, 2020",0,
Ecuador,ECU,"Jan 11, 2020",0,
Ecuador,ECU,"Jan 12, 2020",0,
Ecuador,ECU,"Jan 13, 2020",0,
Ecuador,ECU,"Jan 14, 2020",0,
Ecuador,ECU,"Jan 15, 2020",0,
Ecuador,ECU,"Jan 16, 2020",0,
Ecuador,ECU,"Jan 17, 2020",0,
Ecuador,ECU,"Jan 18, 2020",0,
Ecuador,ECU,"Jan 19, 2020",0,
Ecuador,ECU,"Jan 20, 2020",0,
Ecuador,ECU,"Jan 21, 2020",0,
Ecuador,ECU,"Jan 22, 2020",0,
Ecuador,ECU,"Jan 23, 2020",0,
Ecuador,ECU,"Jan 24, 2020",0,
Ecuador,ECU,"Jan 25, 2020",0,
Ecuador,ECU,"Jan 26, 2020",0,
Ecuador,ECU,"Jan 27, 2020",0,
Ecuador,ECU,"Jan 28, 2020",0,
Ecuador,ECU,"Jan 29, 2020",0,
Ecuador,ECU,"Jan 30, 2020",0,
Ecuador,ECU,"Jan 31, 2020",0,
Ecuador,ECU,"Feb 1, 2020",0,
Ecuador,ECU,"Feb 2, 2020",0,
Ecuador,ECU,"Feb 3, 2020",0,
Ecuador,ECU,"Feb 4, 2020",0,
Ecuador,ECU,"Feb 5, 2020",0,
Ecuador,ECU,"Feb 6, 2020",0,
Ecuador,ECU,"Feb 7, 2020",0,
Ecuador,ECU,"Feb 8, 2020",0,
Ecuador,ECU,"Feb 9, 2020",0,
Ecuador,ECU,"Feb 10, 2020",0,
Ecuador,ECU,"Feb 11, 2020",0,
Ecuador,ECU,"Feb 12, 2020",0,
Ecuador,ECU,"Feb 13, 2020",0,
Ecuador,ECU,"Feb 14, 2020",0,
Ecuador,ECU,"Feb 15, 2020",0,
Ecuador,ECU,"Feb 16, 2020",0,
Ecuador,ECU,"Feb 17, 2020",0,
Ecuador,ECU,"Feb 18, 2020",0,
Ecuador,ECU,"Feb 19, 2020",0,
Ecuador,ECU,"Feb 20, 2020",0,
Ecuador,ECU,"Feb 21, 2020",0,
Ecuador,ECU,"Feb 22, 2020",0,
Ecuador,ECU,"Feb 23, 2020",0,
Ecuador,ECU,"Feb 24, 2020",0,
Ecuador,ECU,"Feb 25, 2020",0,
Ecuador,ECU,"Feb 26, 2020",0,
Ecuador,ECU,"Feb 27, 2020",0,
Ecuador,ECU,"Feb 28, 2020",0,
Ecuador,ECU,"Feb 29, 2020",0,
Ecuador,ECU,"Mar 1, 2020",1,
Ecuador,ECU,"Mar 2, 2020",6,
Ecuador,ECU,"Mar 3, 2020",7,
Ecuador,ECU,"Mar 5, 2020",10,
Ecuador,ECU,"Mar 6, 2020",13,
Ecuador,ECU,"Mar 9, 2020",14,
Ecuador,ECU,"Mar 10, 2020",15,
Ecuador,ECU,"Mar 11, 2020",17,
Ecuador,ECU,"Mar 14, 2020",23,
Ecuador,ECU,"Mar 15, 2020",28,
Ecuador,ECU,"Mar 16, 2020",37,
Ecuador,ECU,"Mar 17, 2020",58,
Ecuador,ECU,"Mar 18, 2020",111,0
Ecuador,ECU,"Mar 19, 2020",168,1
Ecuador,ECU,"Mar 20, 2020",199,2
Ecuador,ECU,"Mar 21, 2020",426,3
Ecuador,ECU,"Mar 22, 2020",532,4
Ecuador,ECU,"Mar 23, 2020",789,5
Ecuador,ECU,"Mar 24, 2020",981,6
Ecuador,ECU,"Mar 25, 2020",1082,7
Ecuador,ECU,"Mar 26, 2020",1211,8
Ecuador,ECU,"Mar 27, 2020",1403,9
Egypt,EGY,"Dec 31, 2019",0,
Egypt,EGY,"Jan 1, 2020",0,
Egypt,EGY,"Jan 2, 2020",0,
Egypt,EGY,"Jan 3, 2020",0,
Egypt,EGY,"Jan 4, 2020",0,
Egypt,EGY,"Jan 5, 2020",0,
Egypt,EGY,"Jan 6, 2020",0,
Egypt,EGY,"Jan 7, 2020",0,
Egypt,EGY,"Jan 8, 2020",0,
Egypt,EGY,"Jan 9, 2020",0,
Egypt,EGY,"Jan 10, 2020",0,
Egypt,EGY,"Jan 11, 2020",0,
Egypt,EGY,"Jan 12, 2020",0,
Egypt,EGY,"Jan 13, 2020",0,
Egypt,EGY,"Jan 14, 2020",0,
Egypt,EGY,"Jan 15, 2020",0,
Egypt,EGY,"Jan 16, 2020",0,
Egypt,EGY,"Jan 17, 2020",0,
Egypt,EGY,"Jan 18, 2020",0,
Egypt,EGY,"Jan 19, 2020",0,
Egypt,EGY,"Jan 20, 2020",0,
Egypt,EGY,"Jan 21, 2020",0,
Egypt,EGY,"Jan 22, 2020",0,
Egypt,EGY,"Jan 23, 2020",0,
Egypt,EGY,"Jan 24, 2020",0,
Egypt,EGY,"Jan 25, 2020",0,
Egypt,EGY,"Jan 26, 2020",0,
Egypt,EGY,"Jan 27, 2020",0,
Egypt,EGY,"Jan 28, 2020",0,
Egypt,EGY,"Jan 29, 2020",0,
Egypt,EGY,"Jan 30, 2020",0,
Egypt,EGY,"Jan 31, 2020",0,
Egypt,EGY,"Feb 1, 2020",0,
Egypt,EGY,"Feb 2, 2020",0,
Egypt,EGY,"Feb 3, 2020",0,
Egypt,EGY,"Feb 4, 2020",0,
Egypt,EGY,"Feb 5, 2020",0,
Egypt,EGY,"Feb 6, 2020",0,
Egypt,EGY,"Feb 7, 2020",0,
Egypt,EGY,"Feb 8, 2020",0,
Egypt,EGY,"Feb 9, 2020",0,
Egypt,EGY,"Feb 10, 2020",0,
Egypt,EGY,"Feb 11, 2020",0,
Egypt,EGY,"Feb 12, 2020",0,
Egypt,EGY,"Feb 13, 2020",0,
Egypt,EGY,"Feb 14, 2020",0,
Egypt,EGY,"Feb 15, 2020",1,
Egypt,EGY,"Feb 16, 2020",1,
Egypt,EGY,"Feb 17, 2020",1,
Egypt,EGY,"Feb 18, 2020",1,
Egypt,EGY,"Feb 19, 2020",1,
Egypt,EGY,"Feb 20, 2020",1,
Egypt,EGY,"Feb 21, 2020",1,
Egypt,EGY,"Feb 22, 2020",1,
Egypt,EGY,"Feb 23, 2020",1,
Egypt,EGY,"Feb 24, 2020",1,
Egypt,EGY,"Feb 25, 2020",1,
Egypt,EGY,"Feb 26, 2020",1,
Egypt,EGY,"Feb 27, 2020",1,
Egypt,EGY,"Feb 28, 2020",1,
Egypt,EGY,"Feb 29, 2020",1,
Egypt,EGY,"Mar 1, 2020",1,
Egypt,EGY,"Mar 2, 2020",2,
Egypt,EGY,"Mar 6, 2020",3,
Egypt,EGY,"Mar 7, 2020",15,
Egypt,EGY,"Mar 9, 2020",49,
Egypt,EGY,"Mar 10, 2020",55,
Egypt,EGY,"Mar 11, 2020",59,
Egypt,EGY,"Mar 12, 2020",60,
Egypt,EGY,"Mar 13, 2020",80,
Egypt,EGY,"Mar 14, 2020",93,
Egypt,EGY,"Mar 15, 2020",93,
Egypt,EGY,"Mar 16, 2020",110,0
Egypt,EGY,"Mar 17, 2020",126,1
Egypt,EGY,"Mar 18, 2020",166,2
Egypt,EGY,"Mar 19, 2020",196,3
Egypt,EGY,"Mar 20, 2020",210,4
Egypt,EGY,"Mar 21, 2020",256,5
Egypt,EGY,"Mar 22, 2020",285,6
Egypt,EGY,"Mar 23, 2020",294,7
Egypt,EGY,"Mar 24, 2020",327,8
Egypt,EGY,"Mar 25, 2020",366,9
Egypt,EGY,"Mar 26, 2020",442,10
Egypt,EGY,"Mar 27, 2020",456,11
El Salvador,SLV,"Mar 19, 2020",1,
El Salvador,SLV,"Mar 20, 2020",1,
El Salvador,SLV,"Mar 21, 2020",3,
El Salvador,SLV,"Mar 22, 2020",3,
El Salvador,SLV,"Mar 23, 2020",3,
El Salvador,SLV,"Mar 24, 2020",5,
El Salvador,SLV,"Mar 25, 2020",9,
El Salvador,SLV,"Mar 26, 2020",13,
El Salvador,SLV,"Mar 27, 2020",13,
Equatorial Guinea,GNQ,"Mar 15, 2020",1,
Equatorial Guinea,GNQ,"Mar 16, 2020",1,
Equatorial Guinea,GNQ,"Mar 17, 2020",1,
Equatorial Guinea,GNQ,"Mar 18, 2020",1,
Equatorial Guinea,GNQ,"Mar 19, 2020",3,
Equatorial Guinea,GNQ,"Mar 20, 2020",4,
Equatorial Guinea,GNQ,"Mar 21, 2020",4,
Equatorial Guinea,GNQ,"Mar 22, 2020",6,
Equatorial Guinea,GNQ,"Mar 23, 2020",6,
Equatorial Guinea,GNQ,"Mar 24, 2020",9,
Equatorial Guinea,GNQ,"Mar 25, 2020",9,
Equatorial Guinea,GNQ,"Mar 26, 2020",11,
Equatorial Guinea,GNQ,"Mar 27, 2020",12,
Eritrea,ERI,"Mar 22, 2020",1,
Eritrea,ERI,"Mar 23, 2020",1,
Eritrea,ERI,"Mar 24, 2020",1,
Eritrea,ERI,"Mar 25, 2020",1,
Eritrea,ERI,"Mar 26, 2020",4,
Eritrea,ERI,"Mar 27, 2020",6,
Estonia,EST,"Dec 31, 2019",0,
Estonia,EST,"Jan 1, 2020",0,
Estonia,EST,"Jan 2, 2020",0,
Estonia,EST,"Jan 3, 2020",0,
Estonia,EST,"Jan 4, 2020",0,
Estonia,EST,"Jan 5, 2020",0,
Estonia,EST,"Jan 6, 2020",0,
Estonia,EST,"Jan 7, 2020",0,
Estonia,EST,"Jan 8, 2020",0,
Estonia,EST,"Jan 9, 2020",0,
Estonia,EST,"Jan 10, 2020",0,
Estonia,EST,"Jan 11, 2020",0,
Estonia,EST,"Jan 12, 2020",0,
Estonia,EST,"Jan 13, 2020",0,
Estonia,EST,"Jan 14, 2020",0,
Estonia,EST,"Jan 15, 2020",0,
Estonia,EST,"Jan 16, 2020",0,
Estonia,EST,"Jan 17, 2020",0,
Estonia,EST,"Jan 18, 2020",0,
Estonia,EST,"Jan 19, 2020",0,
Estonia,EST,"Jan 20, 2020",0,
Estonia,EST,"Jan 21, 2020",0,
Estonia,EST,"Jan 22, 2020",0,
Estonia,EST,"Jan 23, 2020",0,
Estonia,EST,"Jan 24, 2020",0,
Estonia,EST,"Jan 25, 2020",0,
Estonia,EST,"Jan 26, 2020",0,
Estonia,EST,"Jan 27, 2020",0,
Estonia,EST,"Jan 28, 2020",0,
Estonia,EST,"Jan 29, 2020",0,
Estonia,EST,"Jan 30, 2020",0,
Estonia,EST,"Jan 31, 2020",0,
Estonia,EST,"Feb 1, 2020",0,
Estonia,EST,"Feb 2, 2020",0,
Estonia,EST,"Feb 3, 2020",0,
Estonia,EST,"Feb 4, 2020",0,
Estonia,EST,"Feb 5, 2020",0,
Estonia,EST,"Feb 6, 2020",0,
Estonia,EST,"Feb 7, 2020",0,
Estonia,EST,"Feb 8, 2020",0,
Estonia,EST,"Feb 9, 2020",0,
Estonia,EST,"Feb 10, 2020",0,
Estonia,EST,"Feb 11, 2020",0,
Estonia,EST,"Feb 12, 2020",0,
Estonia,EST,"Feb 13, 2020",0,
Estonia,EST,"Feb 14, 2020",0,
Estonia,EST,"Feb 15, 2020",0,
Estonia,EST,"Feb 16, 2020",0,
Estonia,EST,"Feb 17, 2020",0,
Estonia,EST,"Feb 18, 2020",0,
Estonia,EST,"Feb 19, 2020",0,
Estonia,EST,"Feb 20, 2020",0,
Estonia,EST,"Feb 21, 2020",0,
Estonia,EST,"Feb 22, 2020",0,
Estonia,EST,"Feb 23, 2020",0,
Estonia,EST,"Feb 24, 2020",0,
Estonia,EST,"Feb 25, 2020",0,
Estonia,EST,"Feb 26, 2020",0,
Estonia,EST,"Feb 27, 2020",0,
Estonia,EST,"Feb 28, 2020",1,
Estonia,EST,"Feb 29, 2020",1,
Estonia,EST,"Mar 1, 2020",1,
Estonia,EST,"Mar 2, 2020",1,
Estonia,EST,"Mar 4, 2020",2,
Estonia,EST,"Mar 6, 2020",5,
Estonia,EST,"Mar 7, 2020",10,
Estonia,EST,"Mar 11, 2020",13,
Estonia,EST,"Mar 12, 2020",16,
Estonia,EST,"Mar 13, 2020",27,
Estonia,EST,"Mar 14, 2020",79,
Estonia,EST,"Mar 15, 2020",115,0
Estonia,EST,"Mar 16, 2020",171,1
Estonia,EST,"Mar 17, 2020",205,2
Estonia,EST,"Mar 18, 2020",225,3
Estonia,EST,"Mar 19, 2020",258,4
Estonia,EST,"Mar 20, 2020",267,5
Estonia,EST,"Mar 21, 2020",283,6
Estonia,EST,"Mar 22, 2020",306,7
Estonia,EST,"Mar 23, 2020",326,8
Estonia,EST,"Mar 24, 2020",352,9
Estonia,EST,"Mar 25, 2020",369,10
Estonia,EST,"Mar 26, 2020",404,11
Estonia,EST,"Mar 27, 2020",538,12
Ethiopia,ETH,"Mar 14, 2020",1,
Ethiopia,ETH,"Mar 15, 2020",1,
Ethiopia,ETH,"Mar 16, 2020",4,
Ethiopia,ETH,"Mar 17, 2020",5,
Ethiopia,ETH,"Mar 18, 2020",5,
Ethiopia,ETH,"Mar 19, 2020",6,
Ethiopia,ETH,"Mar 20, 2020",7,
Ethiopia,ETH,"Mar 21, 2020",9,
Ethiopia,ETH,"Mar 22, 2020",9,
Ethiopia,ETH,"Mar 23, 2020",11,
Ethiopia,ETH,"Mar 24, 2020",11,
Ethiopia,ETH,"Mar 25, 2020",11,
Ethiopia,ETH,"Mar 26, 2020",12,
